Site,Address,Little blue butterfly group,Cabbage white,Hesperiidae group,Small grass-yellow,Australian painted lady,Dingy swallowtail,Yellow admiral,Macleay's swallowtail,Meadow argus
Royal Park,Parkville VlC 3052,19,16,1,1,1,1,0,0,1
Women's Peace Gardens,"16 Coopers Ln, Kensington VlC3031",21,8,3,3,1,0,1,0,0
Fitzroy Gardens,"Wellington Parade, EastMelbourne VlC 3002",12,5,5,5,0,0,0,0,0
Carlton Gardens South,"1-111 Carlton St, Carlton VIC 3053",17,3,1,1,0,1,1,1,0
Argyle Square,"Argyle Square, 13-19 Argyle PIN, Carlton VlC 3053",5,7,2,0,0,0,0,0,0
Lincoln Square,"Lincoln Square, Lincoln Square S, Carlton VlC 3053",7,1,0,0,3,0,0,0,0
Garrard Reserve,"287-315 Dryburgh St, North Melbourne VlC 3051",4,0,0,0,0,0,0,0,0
Pleasance Gardens,"Abbotsford St, North Melbourne, VIC 3051",3,0,0,0,0,0,0,0,0
